,note,octave,dynamics,string,reference,klass,semitone,pitch_reference,microphone,filename,pack_filename,pack_name,pack_description,class,class_num,scale
0,G,3.0,mf,4.0,1,good-sound,43.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0000.wav,0000.wav,violin_raquel_reference,Play reference notes,good,0,False
1,G,3.0,mf,4.0,1,good-sound,43.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0000.wav,0000.wav,violin_raquel_reference,Play reference notes,good,0,False
2,G#,3.0,mf,4.0,1,good-sound,44.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0001.wav,0001.wav,violin_raquel_reference,Play reference notes,good,0,False
3,G#,3.0,mf,4.0,1,good-sound,44.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0001.wav,0001.wav,violin_raquel_reference,Play reference notes,good,0,False
4,A#,3.0,mf,4.0,1,good-sound,46.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0002.wav,0002.wav,violin_raquel_reference,Play reference notes,good,0,False
5,A#,3.0,mf,4.0,1,good-sound,46.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0002.wav,0002.wav,violin_raquel_reference,Play reference notes,good,0,False
6,B,3.0,mf,4.0,1,good-sound,47.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0003.wav,0003.wav,violin_raquel_reference,Play reference notes,good,0,False
7,B,3.0,mf,4.0,1,good-sound,47.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0003.wav,0003.wav,violin_raquel_reference,Play reference notes,good,0,False
8,A,3.0,mf,4.0,1,good-sound,45.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0004.wav,0004.wav,violin_raquel_reference,Play reference notes,good,0,False
9,A,3.0,mf,4.0,1,good-sound,45.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0004.wav,0004.wav,violin_raquel_reference,Play reference notes,good,0,False
10,C#,4.0,mf,4.0,1,good-sound,49.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0005.wav,0005.wav,violin_raquel_reference,Play reference notes,good,0,False
11,C#,4.0,mf,4.0,1,good-sound,49.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0005.wav,0005.wav,violin_raquel_reference,Play reference notes,good,0,False
